2,"1969-01-02 17:50:48",-56.096,-27.842,80.1,6,"mw","iscgemsup812819","South Sandwich Islands region","earthquake"
3,"1969-01-03 3:16:40",37.14,57.899,10,5.5,"mw","iscgem812826","Turkmenistan-Iran border region","earthquake"
4,"1969-01-03 13:28:12",51.132,-179.306,15,5.9,"mw","iscgem812841","Andreanof Islands, Aleutian Islands, Alaska","earthquake"
5,"1969-01-04 22:36:48",-6.85,129.821,105,5.8,"mw","iscgem812879","Banda Sea","earthquake"
6,"1969-01-05 13:26:43",-7.97,158.888,60,7,"mw","iscgem812898","Solomon Islands","earthquake"
7,"1969-01-06 15:39:00",-10.407,164.479,10,6.9,"mw","iscgem812954","Santa Cruz Islands region","earthquake"
8,"1969-01-08 21:55:51",11.823,143.419,45,5.6,"mw","iscgem813024","south of the Mariana Islands","earthquake"
9,"1969-01-10 3:20:55",28.92,130.667,25,5.9,"mw","iscgem813057","Ryukyu Islands, Japan","earthquake"
10,"1969-01-13 8:55:05",-7.967,158.999,50,5.8,"mw","iscgem813149","Solomon Islands","earthquake"
11,"1969-01-14 23:12:08",36.043,29.221,25,6.4,"mw","iscgem813187","western Turkey","earthquake"
12,"1969-01-18 3:02:38",-56.756,-26.865,130,6.4,"mw","iscgemsup813263","South Sandwich Islands region","earthquake"
13,"1969-01-19 7:02:09",44.985,143.238,244.7,7,"mw","iscgem813290","Hokkaido, Japan region","earthquake"
14,"1969-01-19 18:50:53",-14.849,167.345,112.9,7.1,"mw","iscgem813304","Vanuatu","earthquake"
15,"1969-01-20 12:24:38",-10.441,164.67,10,6.2,"mw","iscgem813332","Santa Cruz Islands region","earthquake"
16,"1969-01-20 14:20:13",54.899,166.054,25,5.9,"mw","iscgem813336","Komandorskiye Ostrova, Russia region","earthquake"
17,"1969-01-22 0:42:31",55.901,162.962,30.1,5.6,"mw","iscgem813398","near the east coast of the Kamchatka Peninsula, Russia","earthquake"
18,"1969-01-24 2:33:04",-21.882,-179.498,593.5,6.7,"mw","iscgem813480","Fiji region","earthquake"
19,"1969-01-25 5:19:20",0.836,126.005,35,6,"mw","iscgem813514","Molucca Sea","earthquake"
20,"1969-01-26 15:05:37",55.84,162.688,31.3,6.1,"mw","iscgem813567","near the east coast of the Kamchatka Peninsula, Russia","earthquake"
21,"1969-01-27 13:15:28",8.654,137.854,15,6.2,"mw","iscgem813602","State of Yap, Federated States of Micronesia","earthquake"
22,"1969-01-29 17:44:30",-17.048,-171.604,15,6,"mw","iscgem813674","Tonga region","earthquake"
23,"1969-01-30 10:29:41",4.569,127.306,60,7.6,"mw","iscgem813688","Kepulauan Talaud, Indonesia","earthquake"
24,"1969-01-31 0:44:16",4.192,128.186,43.3,6.4,"mw","iscgem813710","north of Halmahera, Indonesia","earthquake"
25,"1969-01-31 13:48:24",4.356,128.231,40,6,"mw","iscgem813732","north of Halmahera, Indonesia","earthquake"
26,"1969-01-31 14:59:35",-15.426,-174.909,260,5.6,"mw","iscgem813736","Tonga","earthquake"
27,"1969-02-01 7:41:24",9.252,126.46,35,5.7,"mw","iscgem811747","Mindanao, Philippines","earthquake"
28,"1969-02-02 1:38:48",3.8,128.255,45,6,"mw","iscgem811775","north of Halmahera, Indonesia","earthquake"
29,"1969-02-02 5:21:29",3.882,128.371,45,5.7,"mw","iscgem811783","north of Halmahera, Indonesia","earthquake"
